Product Name,Supported Apps,OS,Resolution,Speaker Output,Refresh Rate,Rating,Original Price,Discounted Price
Vu Premium 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.4,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->56,000</div>","<div class=""_30jeq3 _1_WHN1"">₹43,999</div>"
iFFALCON by TCL 138.6 cm (55 inch) Ultra HD (4K) LED Smart Android TV with HandsFree Voice Search,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.3,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->1,06,990</div>","<div class=""_30jeq3 _1_WHN1"">₹36,999</div>"
iFFALCON by TCL 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,4.2,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->47,990</div>","<div class=""_30jeq3 _1_WHN1"">₹29,999</div>"
realme SLED 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,4.3,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->69,999</div>","<div class=""_30jeq3 _1_WHN1"">₹44,999</div>"
TOSHIBA U50 Series 108 cm (43 inch) Ultra HD (4K) LED Smart TV with Dolby Vision & ATMOS,Netflix|Prime Video|Youtube,Operating System: VIDAA,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,4.3,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->39,990</div>","<div class=""_30jeq3 _1_WHN1"">₹30,999</div>"
Nokia 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Sound by Onkyo,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,48 W Speaker Output,60 Hz Refresh Rate,4.3,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->79,999</div>","<div class=""_30jeq3 _1_WHN1"">₹64,999</div>"
SAMSUNG The Frame 2020 Series 125 cm (50 inch) QLED Ultra HD (4K) Smart TV,Netflix|Prime Video|Apple TV|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.6,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->1,12,900</div>","<div class=""_30jeq3 _1_WHN1"">₹72,999</div>"
MOTOROLA ZX 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.3,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->54,050</div>","<div class=""_30jeq3 _1_WHN1"">₹37,999</div>"
Mi 4X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.4,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->34,999</div>","<div class=""_30jeq3 _1_WHN1"">₹29,999</div>"
Mi 4X 138.8 cm (55 inch) Ultra HD (4K) LED Smart TV,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.4,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->49,999</div>","<div class=""_30jeq3 _1_WHN1"">₹44,999</div>"
Vu Premium 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24W Speaker Output,60 Hz Refresh Rate,4.4,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->50,000</div>","<div class=""_30jeq3 _1_WHN1"">₹30,999</div>"
MOTOROLA ZX Pro 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,50 W Speaker Output,60 Hz Refresh Rate,4.4,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->54,999</div>","<div class=""_30jeq3 _1_WHN1"">₹38,999</div>"
Nokia 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Sound by Onkyo,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,39 W Speaker Output,60 Hz Refresh Rate,4.3,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->45,999</div>","<div class=""_30jeq3 _1_WHN1"">₹31,999</div>"
Vu Masterpiece 215 cm (85 inch) QLED Ultra HD (4K) Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,50 W Speaker Output,120 Hz Refresh Rate,4.6,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->3,50,000</div>","<div class=""_30jeq3 _1_WHN1"">₹2,79,999</div>"
PHILIPS 164 cm (65 inch) Ultra HD (4K) LED Smart TV,Netflix|Youtube,Operating System: Linux based,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,64 Hz Refresh Rate,5,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->1,99,990</div>","<div class=""_30jeq3 _1_WHN1"">₹79,999</div>"
MOTOROLA ZX 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.3,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->46,050</div>","<div class=""_30jeq3 _1_WHN1"">₹30,999</div>"
Thomson 140 cm (55 inch) Ultra HD (4K) LED Smart TV,Netflix|Disney+Hotstar|Youtube,Operating System: Android Based,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,4.1,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->49,999</div>","<div class=""_30jeq3 _1_WHN1"">₹29,999</div>"
SAMSUNG The Frame 2020 Series 163 cm (65 inch) QLED Ultra HD (4K) Smart TV,Netflix|Prime Video|Apple TV|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,120 Hz Refresh Rate,4.6,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->2,22,900</div>","<div class=""_30jeq3 _1_WHN1"">₹1,29,999</div>"
iFFALCON by TCL 163.82 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Micro Dimming and Google A...,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,16 W Speaker Output,60 Hz Refresh Rate,4.4,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->99,999</div>","<div class=""_30jeq3 _1_WHN1"">₹59,999</div>"
iFFALCON by TCL 189.3 cm (75 inch) Ultra HD (4K) LED Smart Android TV with Harman Kardon Speakers and ...,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,120 Hz Refresh Rate,4.2,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->2,39,999</div>","<div class=""_30jeq3 _1_WHN1"">₹1,49,999</div>"
ONIDA Google Certified 147.32 cm (58 inch) Ultra HD (4K) LED Smart Android TV,Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,4.2,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->79,990</div>","<div class=""_30jeq3 _1_WHN1"">₹49,999</div>"
MOTOROLA ZX Pro 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,50 W Speaker Output,60 Hz Refresh Rate,4.4,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->61,999</div>","<div class=""_30jeq3 _1_WHN1"">₹43,999</div>"
iFFALCON by TCL 138.6 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,4.2,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->70,990</div>","<div class=""_30jeq3 _1_WHN1"">₹43,699</div>"
iFFALCON by TCL 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,4.2,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->58,990</div>","<div class=""_30jeq3 _1_WHN1"">₹37,699</div>"
Nokia 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Sound by Onkyo,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,48 W Speaker Output,60 Hz Refresh Rate,4.3,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->59,999</div>","<div class=""_30jeq3 _1_WHN1"">₹41,999</div>"
OnePlus U1S 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.3,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->59,999</div>","<div class=""_30jeq3 _1_WHN1"">₹52,999</div>"
MOTOROLA ZX 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,4.3,"<div class=""_3I9_wc _27UcVY"">₹<!-- -->54,050</div>","<div class=""_30jeq3 _1_WHN1"">₹37,999</div>"
